dataset.title_short,dataset.title_long,dataset.desc,variable.name,method.description,function,variable.code,file.filename,direction,range_min,range_max,interval,Layers,type,code,base_unit
TAVG,Mean temperature (C),"Average mean daily temperatures, calculated using CHIRTS 1.0 daily mean temperature data.",mean temperature,Average of mean daily temperatures within a time period.,mean,TAVG,TAVG.tif,>,20,50,1,30,heat,TAVG_G,°C
TAVG,Mean temperature (C),"Average mean daily temperatures, calculated using CHIRTS 1.0 daily mean temperature data.",mean temperature,Average of mean daily temperatures within a time period.,mean,TAVG,TAVG.tif,<,0,20,1,20,cold,TAVG_L,°C
TMIN,Minimum temperature (C),"Minimum of minimum daily temperatures, calculated using CHIRTS 1.0 daily min temperature data.",minimum temperature,Minimum of minimum daily temperatures within a time period.,min,TMIN,TMIN.tif,<,-10,20,1,30,cold,TMIN,°C
TMAX,Maximum temperature (C),"Maximum of maximum daily temperatures, calculated using CHIRTS 1.0 daily max temperature data.",maximum temperature,Maximum of maximum daily temperatures within a time period.,max,TMAX,TMAX.tif,>,30,50,1,20,heat,TMAX,°C
NTx20,Total number of heat stress days per season (>20C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx20,NTx20.tif,>,NA,NA,NA,NA,heat,NTx20,day
NTx21,Total number of heat stress days per season (>21C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx21,NTx21.tif,>,NA,NA,NA,NA,heat,NTx21,day
NTx22,Total number of heat stress days per season (>22C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx22,NTx22.tif,>,NA,NA,NA,NA,heat,NTx22,day
NTx23,Total number of heat stress days per season (>23C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx23,NTx23.tif,>,NA,NA,NA,NA,heat,NTx23,day
NTx24,Total number of heat stress days per season (>24C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx24,NTx24.tif,>,NA,NA,NA,NA,heat,NTx24,day
NTx25,Total number of heat stress days per season (>25C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx25,NTx25.tif,>,NA,NA,NA,NA,heat,NTx25,day
NTx26,Total number of heat stress days per season (>26C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx26,NTx26.tif,>,NA,NA,NA,NA,heat,NTx26,day
NTx27,Total number of heat stress days per season (>27C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx27,NTx27.tif,>,NA,NA,NA,NA,heat,NTx27,day
NTx28,Total number of heat stress days per season (>28C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx28,NTx28.tif,>,NA,NA,NA,NA,heat,NTx28,day
NTx29,Total number of heat stress days per season (>29C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx29,NTx29.tif,>,NA,NA,NA,NA,heat,NTx29,day
NTx30,Total number of heat stress days per season (>30C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx30,NTx30.tif,>,NA,NA,NA,NA,heat,NTx30,day
NTx31,Total number of heat stress days per season (>31C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx31,NTx31.tif,>,NA,NA,NA,NA,heat,NTx31,day
NTx32,Total number of heat stress days per season (>32C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx32,NTx32.tif,>,NA,NA,NA,NA,heat,NTx32,day
NTx33,Total number of heat stress days per season (>33C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx33,NTx33.tif,>,NA,NA,NA,NA,heat,NTx33,day
NTx34,Total number of heat stress days per season (>34C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx34,NTx34.tif,>,NA,NA,NA,NA,heat,NTx34,day
NTx35,Total number of heat stress days per season (>35C). This thresholds is suitable for maize.,The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx35,NTx35.tif,>,NA,NA,NA,NA,heat,NTx35,day
NTx36,Total number of heat stress days per season (>36C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx36,NTx36.tif,>,NA,NA,NA,NA,heat,NTx36,day
NTx37,Total number of heat stress days per season (>37C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx37,NTx37.tif,>,NA,NA,NA,NA,heat,NTx37,day
NTx38,Total number of heat stress days per season (>38C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx38,NTx38.tif,>,NA,NA,NA,NA,heat,NTx38,day
NTx39,Total number of heat stress days per season (>39C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx39,NTx39.tif,>,NA,NA,NA,NA,heat,NTx39,day
NTx40,Total number of heat stress days per season (>40C). This thresholds could be used to represent a generic crop.,The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx40,NTx40.tif,>,NA,NA,NA,NA,heat,NTx40,day
NTx41,Total number of heat stress days per season (>41C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx41,NTx41.tif,>,NA,NA,NA,NA,heat,NTx41,day
NTx42,Total number of heat stress days per season (>42C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx42,NTx42.tif,>,NA,NA,NA,NA,heat,NTx42,day
NTx43,Total number of heat stress days per season (>43C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx43,NTx43.tif,>,NA,NA,NA,NA,heat,NTx43,day
NTx44,Total number of heat stress days per season (>44C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx44,NTx44.tif,>,NA,NA,NA,NA,heat,NTx44,day
NTx45,Total number of heat stress days per season (>45C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx45,NTx45.tif,>,NA,NA,NA,NA,heat,NTx45,day
NTx46,Total number of heat stress days per season (>46C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx46,NTx46.tif,>,NA,NA,NA,NA,heat,NTx46,day
NTx47,Total number of heat stress days per season (>47C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx47,NTx47.tif,>,NA,NA,NA,NA,heat,NTx47,day
NTx48,Total number of heat stress days per season (>48C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx48,NTx48.tif,>,NA,NA,NA,NA,heat,NTx48,day
NTx49,Total number of heat stress days per season (>49C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx49,NTx49.tif,>,NA,NA,NA,NA,heat,NTx49,day
NTx50,Total number of heat stress days per season (>50C),The number of days with daily maximum temperatures above a given threshold (35 Celsius degrees). ,number of heat stress days,Count of the number of days with daily maximum temperatures above 20C during in a time period.,mean,NTx50,NTx50.tif,>,NA,NA,NA,NA,heat,NTx50,day
